sample	unit	platform	cram
1217994_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1217994_23163_0_0.cram
1218665_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1218665_23163_0_0.cram
1224819_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1224819_23163_0_0.cram
1231620_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1231620_23163_0_0.cram
1231766_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1231766_23163_0_0.cram
1233909_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1233909_23163_0_0.cram
1234343_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1234343_23163_0_0.cram
1242759_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1242759_23163_0_0.cram
1244372_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1244372_23163_0_0.cram
1246764_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1246764_23163_0_0.cram
1248911_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1248911_23163_0_0.cram
1257141_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1257141_23163_0_0.cram
1263607_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1263607_23163_0_0.cram
1267133_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1267133_23163_0_0.cram
1269502_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1269502_23163_0_0.cram
1270016_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1270016_23163_0_0.cram
1270227_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1270227_23163_0_0.cram
1272592_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1272592_23163_0_0.cram
1278379_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1278379_23163_0_0.cram
1282267_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1282267_23163_0_0.cram
1282464_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1282464_23163_0_0.cram
1289202_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1289202_23163_0_0.cram
1313114_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1313114_23163_0_0.cram
1314519_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1314519_23163_0_0.cram
1318727_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1318727_23163_0_0.cram
1335093_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1335093_23163_0_0.cram
1340676_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1340676_23163_0_0.cram
1343817_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1343817_23163_0_0.cram
1355381_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1355381_23163_0_0.cram
1370990_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1370990_23163_0_0.cram
1373092_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1373092_23163_0_0.cram
1382943_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1382943_23163_0_0.cram
1385899_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1385899_23163_0_0.cram
1388441_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1388441_23163_0_0.cram
1392217_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1392217_23163_0_0.cram
1393715_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1393715_23163_0_0.cram
1395115_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1395115_23163_0_0.cram
1395201_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1395201_23163_0_0.cram
1402133_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1402133_23163_0_0.cram
1402447_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1402447_23163_0_0.cram
1410456_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1410456_23163_0_0.cram
1411580_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1411580_23163_0_0.cram
1413798_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1413798_23163_0_0.cram
1416464_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1416464_23163_0_0.cram
1419082_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1419082_23163_0_0.cram
1423395_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1423395_23163_0_0.cram
1429521_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1429521_23163_0_0.cram
1434158_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1434158_23163_0_0.cram
1434372_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1434372_23163_0_0.cram
1437143_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1437143_23163_0_0.cram
1441679_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1441679_23163_0_0.cram
1444440_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1444440_23163_0_0.cram
1447802_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1447802_23163_0_0.cram
1455368_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1455368_23163_0_0.cram
1469369_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1469369_23163_0_0.cram
1471479_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1471479_23163_0_0.cram
1478410_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1478410_23163_0_0.cram
1482574_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1482574_23163_0_0.cram
1482989_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1482989_23163_0_0.cram
1493518_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1493518_23163_0_0.cram
1500225_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1500225_23163_0_0.cram
1500601_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1500601_23163_0_0.cram
1504831_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1504831_23163_0_0.cram
1506237_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1506237_23163_0_0.cram
1510217_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1510217_23163_0_0.cram
1510724_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1510724_23163_0_0.cram
1515879_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1515879_23163_0_0.cram
1518064_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1518064_23163_0_0.cram
1520705_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1520705_23163_0_0.cram
1521837_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1521837_23163_0_0.cram
1527016_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1527016_23163_0_0.cram
1530282_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1530282_23163_0_0.cram
1531853_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1531853_23163_0_0.cram
1543056_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1543056_23163_0_0.cram
1546446_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1546446_23163_0_0.cram
1568997_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1568997_23163_0_0.cram
1573580_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1573580_23163_0_0.cram
1580730_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1580730_23163_0_0.cram
1586340_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1586340_23163_0_0.cram
1587922_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1587922_23163_0_0.cram
1595713_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1595713_23163_0_0.cram
1595921_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1595921_23163_0_0.cram
1601958_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1601958_23163_0_0.cram
1602797_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1602797_23163_0_0.cram
1611627_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1611627_23163_0_0.cram
1615402_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1615402_23163_0_0.cram
1621529_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1621529_23163_0_0.cram
1630959_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1630959_23163_0_0.cram
1631844_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1631844_23163_0_0.cram
1641785_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1641785_23163_0_0.cram
1642748_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1642748_23163_0_0.cram
1650614_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1650614_23163_0_0.cram
1653591_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1653591_23163_0_0.cram
1661286_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1661286_23163_0_0.cram
1663218_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1663218_23163_0_0.cram
1669955_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1669955_23163_0_0.cram
1673201_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1673201_23163_0_0.cram
1678467_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1678467_23163_0_0.cram
1686356_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1686356_23163_0_0.cram
1691707_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1691707_23163_0_0.cram
1693248_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1693248_23163_0_0.cram
